pi sfs
1 0.000362030101010101 1975
2 0.000109401818181818 903
3 0.000142729292929293 1197
4 0.000220670101010101 1511
5 0.000158486262626263 1253
6 0.000627698787878788 3485
7 0.000467166262626263 3223
8 0.000437643232323232 3193
9 0.000184789292929293 1183
10 0.000250624242424242 2132
11 0.000229449090909091 1879
12 0.000373620404040404 2757
13 0.000530102222222222 3584
14 0.000140373333333333 1196
15 0.000338014343434343 2759
16 0.000537688686868687 3586
17 0.00062452 3550
18 6.89327272727273e-05 408
19 0.000266151717171717 2089
20 0.00011168 939
